filename,flair_dice,flair_sens,flair_prec,t1c_dice,t1c_sens,t1c_prec,t2_dice,t2_sens,t2_prec,fus2_dice,fus2_sens,fus2_prec,fus3_dice,fus3_sens,fus3_prec
BRATS_001.nii.gz,0.648,0.629,0.668,0.001,0.000,1.000,0.658,0.520,0.896,0.633,0.613,0.654,0.670,0.670,0.671
BRATS_002.nii.gz,0.695,0.673,0.717,0.001,0.001,1.000,0.769,0.783,0.755,0.869,0.883,0.856,0.839,0.793,0.890
BRATS_003.nii.gz,0.697,0.535,1.000,0.000,0.000,1.000,0.707,0.983,0.553,0.806,0.699,0.953,0.812,0.706,0.956
BRATS_004.nii.gz,0.902,0.824,0.996,0.001,0.000,1.000,0.861,0.756,1.000,0.794,0.658,1.000,0.807,0.676,1.000
BRATS_005.nii.gz,0.206,0.475,0.132,0.001,0.001,1.000,0.661,0.504,0.960,0.236,0.471,0.158,0.526,0.467,0.601
BRATS_006.nii.gz,0.660,0.493,0.998,0.000,0.000,1.000,0.519,0.380,0.820,0.330,0.198,1.000,0.375,0.231,0.997
BRATS_007.nii.gz,0.035,0.026,0.051,0.007,0.010,0.005,0.001,0.000,1.000,0.037,0.026,0.066,0.040,0.026,0.081
BRATS_008.nii.gz,0.772,0.635,0.983,0.000,0.000,1.000,0.779,0.676,0.919,0.768,0.633,0.977,0.770,0.636,0.976
BRATS_009.nii.gz,0.660,0.502,0.962,0.000,0.000,1.000,0.013,0.007,0.213,0.656,0.492,0.984,0.651,0.487,0.984
BRATS_010.nii.gz,0.416,0.959,0.266,0.002,0.001,1.000,0.002,0.001,1.000,0.596,0.963,0.431,0.558,0.955,0.394
BRATS_011.nii.gz,0.873,0.796,0.967,0.001,0.000,1.000,0.758,0.612,0.995,0.875,0.784,0.990,0.867,0.767,0.997
BRATS_012.nii.gz,0.680,0.857,0.563,0.113,0.658,0.062,0.135,0.776,0.074,0.879,0.875,0.882,0.654,0.866,0.525
BRATS_013.nii.gz,0.662,0.938,0.511,0.075,0.445,0.041,0.003,0.002,1.000,0.665,0.960,0.508,0.696,0.947,0.549
BRATS_014.nii.gz,0.692,0.711,0.673,0.178,0.283,0.130,0.710,0.550,1.000,0.505,0.653,0.412,0.635,0.725,0.565
